Financial Year,Month,Local Board,Location Name,_Sum of Checkouts Actual
FY18,Oct,Other,Content and Access,32
FY18,Oct,Other,Corporate,52
FY18,Oct,Other,Debt,3
FY18,Oct,Devonport - Takapuna,Devonport,20318
FY18,Oct,Other,Digital Library,0
FY18,Oct,Hibiscus and Bays,East Coast Bays,51387
FY18,Oct,Albert - Eden,Epsom,24577
FY18,Oct,Other,Events Library,29
FY18,Oct,Waitakere Ranges,Glen Eden,25702
FY18,Oct,Maungakiekie-Tamaki,Glen Innes,7202
FY18,Oct,Kaipatiki,Glenfield,30025
FY18,Oct,Great Barrier,Great Barrier,1009
FY18,Oct,Waitemata,Grey Lynn,11921
FY18,Oct,Rodney,Helensville,5679
FY18,Oct,Henderson - Massey,Henderson,21770
FY18,Oct,Howick,Highland Park,31147
FY18,Oct,Howick,Howick,28413
FY18,Oct,Rodney,Kumeu,12040
FY18,Oct,Waitemata,Leys Institute,11285
FY18,Oct,Waitemata,Leys Institute Little,0
FY18,Oct,Other,Library Connect,240
FY18,Oct,Rodney,Mahurangi East,6591
FY18,Oct,Mangere-Otahuhu,Mangere Bridge,9069
FY18,Oct,Mangere-Otahuhu,Mangere East,3086
FY18,Oct,Mangere-Otahuhu,Mangere Town Centre,3415
FY18,Oct,Otara-Papatoetoe,Manukau,8243
FY18,Oct,Manurewa,Manurewa,16415
FY18,Oct,Henderson - Massey,Massey,27808
FY18,Oct,Mobile Libraries,Mobile Central,1084
FY18,Oct,Mobile Libraries,Mobile North,1581
FY18,Oct,Mobile Libraries,Mobile South & East,3756
FY18,Oct,Mobile Libraries,Mobile West & Central,2152
FY18,Oct,Albert - Eden,Mt Albert,34010
FY18,Oct,Puketapapa,Mt Roskill,35030
FY18,Oct,Whau,New Lynn,25231
FY18,Oct,Kaipatiki,Northcote,11982
FY18,Oct,Maungakiekie-Tamaki,Onehunga,17748
FY18,Oct,Other,Online Renewals,0
FY18,Oct,Hibiscus and Bays,Orewa,31314
FY18,Oct,Mangere-Otahuhu,Otahuhu,4957
FY18,Oct,Otara-Papatoetoe,Otara,1828
FY18,Oct,Other,Other,3384
FY18,Oct,Howick,Pakuranga,21900
FY18,Oct,Maungakiekie-Tamaki,Panmure,13299
FY18,Oct,Papakura,Papakura,23875
FY18,Oct,Otara-Papatoetoe,Papatoetoe,11399
FY18,Oct,Waitemata,Parnell,11164
FY18,Oct,Albert - Eden,Pt Chevalier,14412
FY18,Oct,Franklin,Pukekohe,25586
FY18,Oct,Henderson - Massey,Ranui,10838
FY18,Oct,Orakei,Remuera,30640
FY18,Oct,Orakei,St Heliers,35139
FY18,Oct,Devonport - Takapuna,Takapuna,36651
FY18,Oct,Henderson - Massey,Te Atatu Peninsula,15616
FY18,Oct,Henderson - Massey,Te Manawa,0
FY18,Oct,Waitakere Ranges,Titirangi,1
FY18,Oct,Otara-Papatoetoe,Tupu,1328
FY18,Oct,Waiheke,Waiheke,11698
FY18,Oct,Franklin,Waiuku,9907
FY18,Oct,Rodney,Warkworth,12259
FY18,Oct,Rodney,Wellsford,6277
FY18,Oct,Hibiscus and Bays,Whangaparaoa,22592
FY18,Nov,Upper Harbour,Albany Village,19127
FY18,Nov,Other,Art Gallery,29
FY18,Nov,Whau,Avondale,8114
FY18,Nov,Kaipatiki,Birkenhead,19307
FY18,Nov,Whau,Blockhouse Bay,17784
FY18,Nov,Howick,Botany,26848
FY18,Nov,Waitemata,Central City,33723
FY18,Nov,Manurewa,Clendon,3648
FY18,Nov,Other,Content and Access,44
FY18,Nov,Other,Corporate,66
FY18,Nov,Other,Debt,0
FY18,Nov,Devonport - Takapuna,Devonport,17793
FY18,Nov,Other,Digital Library,0
FY18,Nov,Hibiscus and Bays,East Coast Bays,46281
